,0,1,2,3
1484,Breathe, Blu Cantrell Featuring Sean Paul,spotify:track:2qP7pTiADPcUjki12RkKg0,2003
1485,Help Pour Out The Rain (Laceys Song), Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,2003
1486,Price To Play, Staind,spotify:track:6WV1sNIE0gG9cIdQ27vuvI,2003
1487,Stupid Girl, Cold,spotify:track:40u9RFyKQfXwpPjFzK1bGO,2003
1488,Beware Of The Boys (Mundian To Bach Ke), Panjabi MC Featuring Jay-Z,N/A,2003
1489,What Was I Thinkin, Dierks Bentley,spotify:track:0r8iDf65NHgFgZOGLwj5r8,2003
1490,Thatd Be Alright, Alan Jackson,spotify:track:48ykOM780IeqcmTcwK9IM4,2003
1491,Still Ballin, 2Pac Featuring Trick Daddy,N/A,2003
1492,Tal Vez, Ricky Martin,spotify:track:7dfcQMlkSp40GntNwX98Z6,2003
1493,How You Want That, Loon Featuring Kelis,N/A,2003
1494,Concrete Angel, Martina McBride,spotify:track:2LLcI3oU4CedCQDV5tJ1SK,2003
1495,Emotional Rollercoaster, Vivian Green,spotify:track:3FZn2eFyPG9kSTFdwUTF6r,2003
1496,Excuse Me Miss, JAY-Z,spotify:track:6JW8DqCEOWaj8z5AIx4ugf,2003
1497,Cant Stop, Red Hot Chili Peppers,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,2003
1498,Try It On My Own, Whitney Houston,spotify:track:2IpeftovkFwpkWBYuS0qCz,2003
1499,Flipside, Freeway Featuring Peedi Crakk,N/A,2003
1500,Foolish, Ashanti,spotify:track:6zMUIb4uce1CzpbjR3vMdN,2002
1501,Hot In Herre, Nelly,spotify:track:04KTF78FFg8sOHC1BADqbY,2002
1502,I Need A Girl (Part One), P. Diddy Featuring Usher & Loon,N/A,2002
1503,Without Me, Eminem,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,2002
1504,The Middle, Jimmy Eat World,spotify:track:3mcG2NI5G5vhrQtRda1YnA,2002
1505,A Thousand Miles, Vanessa Carlton,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,2002
1506,Whats Luv?, Fat Joe Featuring Ashanti,N/A,2002
1507,Oh Boy, Cam'Ron Featuring Juelz Santana,N/A,2002
1508,Addictive, Truth Hurts Featuring Rakim,N/A,2002
1509,U Dont Have To Call, Usher,spotify:track:5PCJldueshnwqQVjS16543,2002
1510,Im Gonna Be Alright, Jennifer Lopez Featuring Nas,N/A,2002
1511,Hero, Chad Kroeger Featuring Josey Scott,N/A,2002
1512,Blurry, Puddle Of Mudd,spotify:track:5ceGigL7CZQ3Ih6W8SIbv8,2002
1513,Hella Good, No Doubt,spotify:track:1CsUH29MaAIMbfGh4FEG4w,2002
1514,All You Wanted, Michelle Branch,spotify:track:0kr6d8wHDQPlzuET33NVn6,2002
1515,Days Go By, Dirty Vegas,spotify:track:2RLpFEf6d0708O7Bqhjyxg,2002
1516,halfcrazy, Musiq,spotify:track:3oXNIpoUMdk8qGkwCeXqGv,2002
1517,Rainy Dayz, Mary J. Blige Featuring Ja Rule,N/A,2002
1518,Still Fly, Big Tymers,spotify:track:563vSy3HB5NHxel1VGQCW6,2002
1519,Wasting My Time, Default,spotify:track:5dpAN1mjFPL38kh9kWsCiw,2002
1520,Down A** Chick," Ja Rule Featuring Charli ""Chuck"" Baltimore",N/A,2002
1521,Soak Up The Sun, Sheryl Crow,spotify:track:215JYyyUnrJ98NK3KEwu6d,2002
1522,Dont Let Me Get Me, P!nk,spotify:track:2ZQ4Q9xL7W8FEgO1d4o7YH,2002
1523,Full Moon, Brandy,spotify:track:0pLmfgIANOX9FB9uZDU43x,2002
1524,More Than A Woman, Aaliyah,spotify:track:7shelnJfOa5yGLzOpRRnKI,2002
1525,Wherever You Will Go, The Calling,spotify:track:5QpaGzWp0hwB5faV8dkbAz,2002
1526,Living And Living Well, George Strait,spotify:track:3YxKqZFpcxBPvpUssL8FS2,2002
1527,I Need A Girl (Part Two)," P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",N/A,2002
1528,In The End, Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,2002
1529,Complicated, Avril Lavigne,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,2002
1530,Drive (For Daddy Gene), Alan Jackson,spotify:track:3xzoXqypESowMIDPX760Ds,2002
1531,How You Remind Me, Nickelback,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,2002
1532,Underneath Your Clothes, Shakira,spotify:track:15f8Cv8RXUlOOCIf2oaceN,2002
1533,Makin Good Love, Avant,spotify:track:6Q13UWFUuqXLXT7IUVkqM1,2002
1534,Aint It Funny, Jennifer Lopez Featuring Ja Rule,spotify:track:3B3nsrgVpBiidfl7wvTEWD,2002
1535,Pass The Courvoisier Part II, Busta Rhymes Featuring P. Diddy & Pharrell,N/A,2002
1536,Gots Ta Be, B2K,spotify:track:63MKNIWCCxtqnehwFhmYqp,2002
1537,Im Gonna Miss Her (The Fishin Song), Brad Paisley,spotify:track:3aC3C8kWu8dJUTr54zsBkq,2002
1538,Call Me, Tweet,spotify:track:2aBEchhqPDgnvjPhCgzHSx,2002
1539,I Dont Have To Be Me (til Monday), Steve Azar,spotify:track:5v1bA7NmQcQHvH9IDkeeF4,2002
1540,Dont Say Goodbye, Paulina Rubio,spotify:track:1yTLDUvJW37nMNucGZfBoA,2002
1541,Anything, Jaheim Featuring Next,spotify:track:3E0DKctNQx4DU9QJ3xoXdU,2002
1542,Girlfriend, 'N Sync Featuring Nelly,spotify:track:5hOnaYMOnXvZWmOdnLMXHD,2002
1543,I Should Be Sleeping, Emerson Drive,spotify:track:28CnmZkM5CFp0ObTRQJeCw,2002
1544,Not A Day Goes By, Lonestar,spotify:track:5hPZdsAI8Jo0mhq5J829Tb,2002
1545,No Such Thing, John Mayer,spotify:track:6Vecwo7AHst9V2CE3kmwr0,2002
1546,Escape, Enrique Iglesias,spotify:track:24Gxm7Eh7tO83E26LG0CsY,2002
1547,Here Is Gone, Goo Goo Dolls,spotify:track:7p1PhtGLjq0ISncRXBHqXY,2002
1548,Someone To Love You, Ruff Endz,spotify:track:1TYEfvGTYpdimygplYu0Hk,2002
1549,Walking Away, Craig David,spotify:track:3R7fjB38qajI6JR69y5k4e,2002
1550,Heaven, DJ Sammy & Yanou Featuring Do,N/A,2002
1551,The One, Gary Allan,spotify:track:3bshjjlr63HkgFFxdA8mvg,2002
1552,By The Way, Red Hot Chili Peppers,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,2002
1553,The Good Stuff, Kenny Chesney,spotify:track:1EKiQ1InQXuodp4M1idrng,2002
1554,My List, Toby Keith,spotify:track:3vzmDjQ7E6gzAVg4ecp6XU,2002
1555,Too Bad, Nickelback,spotify:track:2cCWbBmadLbKvr9xddC79R,2002
1556,Nothin, N.O.R.E.,spotify:track:5ZKVNTG7yu7gbX4vryqS2X,2002
1557,Just A Friend 2002, Mario,spotify:track:2cxbxpHrND6i4uvUGVvC9J,2002
1558,My Heart Is Lost To You, Brooks & Dunn,spotify:track:2YWVrRgUlnOGW2MKEU4PLv,2002
1559,You Know That I Love You, Donell Jones,spotify:track:5QiTs0egWAq0k2O8HWKoEP,2002
1560,One Last Breath, Creed,spotify:track:42T2QQv3xgBlpQxaSP7lnK,2002
1561,Why Dont We Fall In Love, Amerie,spotify:track:4bnjq8zqtCnxTGxll5ezOO,2002
1562,"Courtesy Of The Red, White And Blue (The Angry American)", Toby Keith,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,2002
1563,When You Lie Next To Me, Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,2002
1564,A New Day Has Come, Celine Dion,spotify:track:3qjXFLKMp4zfMmugEGPaBx,2002
1565,Drift & Die, Puddle Of Mudd,spotify:track:6lNOwCkVMyl0VWTJOScNDx,2002
1566,Long Time Gone, Dixie Chicks,spotify:track:7xhhDOQa7X36TmU45uoVi6,2002
1567,What If Shes An Angel, Tommy Shane Steiner,spotify:track:4avs56frsTcnjwy2KlCQ5D,2002
1568,Saturday (Oooh! Ooooh!), Ludacris Featuring Sleepy Brown,N/A,2002
1569,I Dont Want You To Go, Carolyn Dawn Johnson,spotify:track:5nm8hcsVzkpybnK75h7FDY,2002
1570,Say I Yi Yi, Ying Yang Twins,spotify:track:46XvcuEZFFInDilbYUNHBn,2002
1571,I Miss My Friend, Darryl Worley,spotify:track:0qnoS5hMZMphvKWi0D2LQh,2002
1572,Where Are You Going, Dave Matthews Band,spotify:track:5EjZXJ4nVpw7uI6eso1SFS,2002
1573,Down 4 U," Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",N/A,2002
1574,"My Neck, My Back", Khia Featuring DSD,N/A,2002
1575,Grindin, Clipse,spotify:track:3XrvEifl0hIzgBGUa5jBLS,2002
1576,Happy, Ashanti,spotify:track:6CbcdeTQKj0qTaZTt0xkdk,2002
1577,Here To Stay, Korn,spotify:track:5NHTtXGCdO7ul16xr0q93w,2002
1578,One Mic, Nas,spotify:track:6MMuI4k4Vs5ghtDH5i2hBg,2002
1579,Move B***h, Ludacris Featuring Mystikal & Infamous 2.0,N/A,2002
1580,For You, Staind,spotify:track:464HG7mt7NNKtKY0Hco8Y8,2002
1581,Thats When I Love You, Phil Vassar,spotify:track:1lhPhB8fdto7hvqCWljRm1,2002
1582,What If A Woman, Joe,spotify:track:6B38ul2FMi2Vho0siZ6DjB,2002
1583,Young, Kenny Chesney,spotify:track:6vikZR6OvVmDSSgfiQVQgm,2002
1584,Wish I Didnt Miss You, Angie Stone,spotify:track:3tZm76otWH20xzJC7icHCk,2002
1585,Awnaw, Nappy Roots,spotify:track:37RC87Ce8jeeKmnpYNExhP,2002
1586,Feels Good (Dont Worry Bout A Thing), Naughty By Nature Featuring 3LW,spotify:track:64cLBRrPxdJrbGPpTcQpNL,2002
1587,Toxicity, System Of A Down,spotify:track:2DlHlPMa4M17kufBvI2lEN,2002
1588,Quitame Ese Hombre, Pilar Montenegro,spotify:track:51nRQic7PFMD4NsdRj6soX,2002
1589,The Impossible, Joe Nichols,spotify:track:0RXY2Ha3UT5V3XkeEjY8Fh,2002
1590,If I Could Go!, Angie Martinez Featuring Lil' Mo & Sacario,N/A,2002
1591,Oops (Oh My), Tweet,spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,2002
1592,Guess Whos Back, Scarface Featuring Jay-Z & Beanie Sigel,N/A,2002
1593,Give It To Her, Tanto Metro & Devonte,spotify:track:1JopC4d5uwa7zU98fi4oaT,2002
1594,"I Breathe In, I Breathe Out", Chris Cagle,spotify:track:3r513lY50AOJBqaG4nP2LT,2002
1595,Roc The Mic, Beanie Sigel & Freeway,spotify:track:147AMxzdK5I1iwiaXEvypO,2002
1596,Gimme The Light, Sean Paul,spotify:track:3SCVtAJq8li6HlKfM4M08u,2002
1597,For All Time, Soluna,spotify:track:74FoFQHkUuGyjbmyLJ35fz,2002
1598,Day + Night, Isyss Featuring Jadakiss,N/A,2002
1599,Crawling In The Dark, Hoobastank,spotify:track:1eK4KsyjAzr2xJ86Tj5SWa,2002
1600,Lady Marmalade," Christina Aguilera, Lil' Kim, Mya & P!nk",spotify:track:5xL8ktVmTcBzr4XigMHklD,2001
1601,Hanging By A Moment, Lifehouse,spotify:track:0wqOReZDnrefefEsrIGeR4,2001
1602,Ride Wit Me, Nelly Featuring City Spud,spotify:track:40emMiuHFhj8amLAWapAAA,2001
1603,My Baby, Lil' Romeo,spotify:track:0s9A4pUBLw68E76vY8LU9K,2001
1604,Drops Of Jupiter (Tell Me), Train,spotify:track:0k4DhjX89dOfcJ7pgRoxoy,2001
1605,Fiesta, R. Kelly Featuring Jay-Z,N/A,2001
1606,Follow Me, Uncle Kracker,spotify:track:4KoecuyOpZaNFZ0UqVsllc,2001
1607,Peaches & Cream, 112,spotify:track:2SLZ2rX5773RS16mcqBxG7,2001
1608,Get Ur Freak On," Missy ""Misdemeanor"" Elliott",spotify:track:6ak4LTFKVFLIpS3WpyDfhC,2001
1609,All For You, Janet,spotify:track:0UdqZQEbRWTkNXlh5kl2L8,2001
1610,There Youll Be, Faith Hill,spotify:track:1s2khOWzC99udpUaPICLJI,2001
1611,Let Me Blow Ya Mind, Eve Featuring Gwen Stefani,spotify:track:5ncKa5K5qxoRDIn5p7Qqmm,2001
1612,Superwoman Pt. II, Lil' Mo Featuring Fabolous,N/A,2001
1613,Drive, Incubus,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,2001
1614,Thank You, Dido,spotify:track:751gBcu62kORDelX7FV0mM,2001
1615,What Would You Do?, City High,spotify:track:1tJkic0TURTCXw3rBhYgWu,2001
1616,Im Like A Bird, Nelly Furtado,spotify:track:2tP7ZekzXfduShx8C6cbll,2001
1617,Irresistible, Jessica Simpson,spotify:track:2TVSa07y6g3HRn4oLWv57M,2001
1618,Pop, 'N Sync,spotify:track:0Jc8qF1mUPo1A96HE9QxZz,2001
1619,Survivor, Destiny's Child,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,2001
1620,Bootylicious, Destiny's Child,spotify:track:41nT1Sp6ChR65FbsdLlFHW,2001
1621,Its Been Awhile, Staind,spotify:track:25CMmGsl22APKhfuj4Tp7j,2001
1622,Music, Erick Sermon Featuring Marvin Gaye,N/A,2001
1623,Im Already There, Lonestar,spotify:track:34Vn9nKfztyLco9lJazy4j,2001
1624,Aint Nothing Bout You, Brooks & Dunn,spotify:track:6CkydK3NOAMScIhViRzXoB,2001
1625,Grown Men Dont Cry, Tim McGraw,spotify:track:4RtDZMumlKxsN7IL3AJPUx,2001
1626,Stutter, Joe Featuring Mystikal,N/A,2001
1627,More Than That, Backstreet Boys,spotify:track:4XRUKxDIn28c7uHEzbGFgj,2001
1628,All Or Nothing, O-Town,spotify:track:0WdaRmHBMhUoLPqHLdb9yg,2001
1629,U Remind Me, Usher,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,2001
1630,Play, Jennifer Lopez,spotify:track:7fFCnttacpotkyhTOxKv14,2001
1631,Missing You, Case,spotify:track:74mLqaoGbdKYmgUxoVxD6S,2001
1632,I Hope You Dance, Lee Ann Womack,spotify:track:65B1tEOv5W294uCKbmEcFV,2001
1633,When Its Over, Sugar Ray,spotify:track:3eWxADd1CLwJVhyPzrCpl8,2001
1634,South Side, Moby Featuring Gwen Stefani,spotify:track:0KwXjf8EUmRA8csssSi9Dt,2001
1635,Where The Party At, Jagged Edge With Nelly,spotify:track:2VbmTtZn6SdR33FGklXhVU,2001
1636,Dont Happen Twice, Kenny Chesney,spotify:track:04ccQGJ1i8gL7JoeCPiJbv,2001
1637,Angel, Shaggy Featuring Rayvon,N/A,2001
1638,If Youre Gone, matchbox twenty,spotify:track:2f5N826udWfjT9iomeaBJt,2001
1639,I Cry, Ja Rule Featuring Lil' Mo,N/A,2001
1640,Fill Me In, Craig David,spotify:track:0UzsDmdpw0Q14KU4hieQss,2001
1641,Wait A Minute, Ray J Featuring Lil' Kim,N/A,2001
1642,Never Had A Dream Come True, S Club 7,spotify:track:1rzssdgfZiGs7VAMsYN9SF,2001
1643,Heard It All Before, Sunshine Anderson,spotify:track:0xikWgPgYN9BEes0ieZ8Co,2001
1644,I Do!!, Toya,spotify:track:0NdEFLohwfZpyncrBCq1ZY,2001
1645,I Could Not Ask For More, Sara Evans,spotify:track:3TcoHf7nvC8RaDVdfIFjFR,2001
1646,Again, Lenny Kravitz,spotify:track:16gvJsVyauI16RqmOrwJJk,2001
1647,Put It On Me, Ja Rule Featuring Lil' Mo & Vita,N/A,2001
1648,She Couldnt Change Me, Montgomery Gentry,spotify:track:3zjLEJ6EPYJHZRtWGMhMSJ,2001
1649,Love, Musiq Soulchild,spotify:track:6uSa5iCMwPr10Ftpz8w09b,2001
1650,This Is Me, Dream,spotify:track:5LVTzrOs7Ban5EpU9XkGSW,2001
1651,If You Can Do Anything Else, George Strait,N/A,2001
1652,Heres To The Night, Eve 6,spotify:track:4tgeQrPu5xkrnwErym2JsJ,2001
1653,"So Fresh, So Clean", OutKast,spotify:track:6glsMWIMIxQ4BedzLqGVi4,2001
1654,Its A Great Day To Be Alive, Travis Tritt,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,2001
1655,When Somebody Loves You, Alan Jackson,spotify:track:4XVLJ62eA8szyqGS7vmVsB,2001
1656,Two People Fell In Love, Brad Paisley,spotify:track:154grZhOoDf2FDTnS2BpK6,2001
1657,I Like Them Girls, Tyrese,spotify:track:3NJQ1KdbMLE1CEEVNjs9IO,2001
1658,Hit Em Up Style (Oops!), Blu Cantrell,spotify:track:4zYTZvtcww7OWKie7fxA9E,2001
1659,We Need A Resolution, Aaliyah Featuring Timbaland,N/A,2001
1660,The Space Between, Dave Matthews Band,spotify:track:65KzDXZm9aQt8sA1k0ZVG3,2001
1661,When I Think About Angels, Jamie O'Neal,spotify:track:3ERS3R0knFUvG68792i1r1,2001
1662,I Wanna Be Bad, Willa Ford,spotify:track:6f67kjvFmXZTA47K8JNVBU,2001
1663,"Baby, Come Over (This Is Our Night)", Samantha Mumba,spotify:track:45wCb9OuQVAQLXgsL6Wi7W,2001
1664,Mad Season, matchbox twenty,spotify:track:2f5N826udWfjT9iomeaBJt,2001
1665,Cant Believe, Faith Evans Featuring Carl Thomas,N/A,2001
1666,What It Feels Like For A Girl, Madonna,spotify:track:6rQcK4xOzePDdrTg7Yv6d6,2001
1667,Until The End Of Time, 2Pac,spotify:track:5avQSAKB1dOEeIQBqV4jgW,2001
1668,Flavor Of The Weak, American Hi-Fi,spotify:track:1UkMAtLU8NxsddE7j4zXGO,2001
1669,Im Just Talkin About Tonight, Toby Keith,spotify:track:6CBRI05fAHw76JqDk2IRkK,2001
1670,Right Where I Need To Be, Gary Allan,spotify:track:7fkGuyDiJoqHbMiPqjqNKx,2001
1671,La Bomba, Azul Azul,spotify:track:0Tl84qfow6Dv0PM60zoBhb,2001
1672,Austin, Blake Shelton,spotify:track:2WQAknZHrJAEQOFXe0F44P,2001
1673,Where The Blacktop Ends, Keith Urban,spotify:track:7qLQR9T8vL638MbPYCDAFk,2001
1674,Take It To Da House, Trick Daddy Featuring The SNS Express,N/A,2001
1675,Someone To Call My Lover, Janet,spotify:track:3cNtjgYi1Z6zR35fOiNtuZ,2001
1676,Downtime, Jo Dee Messina,spotify:track:4rENpAqjfXx7XBZV63hx0O,2001
1677,Maybe I Deserve, Tank,spotify:track:4vsrilwOdpMNfAxjyA4sQc,2001
1678,Loverboy, Mariah Carey Featuring Cameo,spotify:track:5fTFotLuBHdqoO4k8BnxET,2001
1679,Lets Get It," Three The... G. Dep, P. Diddy & Black Rob",N/A,2001
1680,Schism, Tool,spotify:track:1y5q1xlIKjtIMKnrI0NIOY,2001
1681,If I Fall Youre Going Down With Me, Dixie Chicks,spotify:track:2MMZ1Llts0rTaU834P2Xct,2001
1682,Oochie Wally, QB Finest Featuring Nas & Bravehearts,N/A,2001
1683,Playas Gon Play, 3LW,spotify:track:3OWsm3HE35S9x3fgY8tbgh,2001
1684,Shes All I Got, Jimmy Cozier,spotify:track:49XSbzWYyB20DTlBtQiZFw,2001
1685,Angel, Lionel Richie,spotify:track:55oovDrYcI8EzQxg7mHVrD,2001
1686,Lay Low," Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",N/A,2001
1687,Look At Us, Sarina Paris,spotify:track:42MVI9N0ikM6m8QgrC1nUu,2001
1688,What I Really Meant To Say, Cyndi Thomson,spotify:track:2YhdP9Wq1yH2pshQ6sWnHo,2001
1689,My Way, Limp Bizkit,spotify:track:2gSVKxPDww9Eep5rdvtdem,2001
1690,Video, India.Arie,spotify:track:4oiAlcisfimXQc1wyAtX9a,2001
1691,Dream On, Depeche Mode,spotify:track:17ZX2lirfQGxbPLcn25sf7,2001
1692,Get Over Yourself, Eden's Crush,spotify:track:5YAEEcU49qZX0e35j26sSh,2001
1693,Yellow, Coldplay,spotify:track:3AJwUDP919kvQ9QcozQPxg,2001
1694,Mrs. Steven Rudy, Mark McGuinn,spotify:track:50JSuPksOs3K8IOL0Fqt5K,2001
1695,There She Goes, Babyface,spotify:track:7dO7S7cAUqTUiVRqQ2v9zh,2001
1696,Purple Hills, D12,spotify:track:3zUrHLn4Q2dSX2T9veMIIb,2001
1697,Fallin, Alicia Keys,spotify:track:0KQx6HOpJueiSkztcS0r7D,2001
1698,Imitation Of Life, R.E.M.,spotify:track:32kmXl5F8I3XDVKNfwwM4J,2001
1699,Loaded, Ricky Martin,spotify:track:1uPrIHgYztXSkkcts9jet8,2001
1700,Be With You, Enrique Iglesias,spotify:track:1lZ4j5WBURBwZ0M5TT46wP,2000
1701,Try Again, Aaliyah,spotify:track:4YpdQdXRBEC1wkoIHTwJTJ,2000
1702,Everything You Want, Vertical Horizon,spotify:track:4cKGldbhGJniI8BrB3K6tb,2000
1703,The Real Slim Shady, Eminem,spotify:track:3yfqSUWxFvZELEM4PmlwIR,2000
1704,Breathe, Faith Hill,spotify:track:3y4LxiYMgDl4RethdzpmNe,2000
1705,I Wanna Know, Joe,spotify:track:6ctr1K7KzKErxbfGAynL8A,2000
1706,You Sang To Me, Marc Anthony,spotify:track:2dwhMQsFeHr2S787WxqAqW,2000
1707,Thong Song, Sisqo,spotify:track:5Mmk2ii6laakqfeCT7OnVD,2000
1708,Its Gonna Be Me, 'N Sync,spotify:track:2AW37v0bDyuOzGP3XnmFuA,2000
1709,Oops!...I Did It Again, Britney Spears,spotify:track:6naxalmIoLFWR0siv8dnQQ,2000
1710,Higher, Creed,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,2000
1711,There You Go, P!nk,spotify:track:6LCbPOnvjxSaRnNBKH1JII,2000
1712,Bent, matchbox twenty,spotify:track:6fA7akEuTUL3dW1V0GELaZ,2000
1713,I Try, Macy Gray,spotify:track:5TAf4lnZCZTLlZHNZMLFLi,2000
1714,Maria Maria, Santana Featuring The Product G&B,N/A,2000
1715,He Wasnt Man Enough, Toni Braxton,spotify:track:7f1Dmr246cJ9uQYdbplTbh,2000
1716,I Turn To You, Christina Aguilera,spotify:track:4Do68W4FWO2hRAJCzG1lus,2000
1717,Back Here, BBMak,spotify:track:6znv7i4Wif5fLwI6OjKHZ4,2000
1718,Big Pimpin, Jay-Z Featuring UGK,N/A,2000
1719,Absolutely (Story Of A Girl), Nine Days,spotify:track:3mNecsYFb6LQg7822DPXCP,2000
1720,Swear It Again, Westlife,spotify:track:2x1D20z93vGEjtTP07GOOr,2000
1721,Otherside, Red Hot Chili Peppers,spotify:track:64BbK9SFKH2jk86U3dGj2P,2000
1722,Say My Name, Destiny's Child,spotify:track:7H6ev70Weq6DdpZyyTmUXk,2000
1723,I Wish, Carl Thomas,spotify:track:3lqT89gv8p3PYwXtr3ODjv,2000
1724,Amazed, Lonestar,spotify:track:6iNcyWk5iUEY7P9zeTc5hm,2000
1725,Broadway, Goo Goo Dolls,spotify:track:3dbywb1zxwI3h1m9o304eY,2000
1726,Yes!, Chad Brock,spotify:track:1PrZOkFxJqTZAH8P3x87hW,2000
1727,Crybaby, Mariah Carey Featuring Snoop Dogg,spotify:track:1gArms4PYujtGW63ramJ1d,2000
1728,Lets Get Married, Jagged Edge,spotify:track:1PmHkalaUHhh0fz23SBHDL,2000
1729,(Hot S**t) Country Grammar, Nelly,spotify:track:2Lg4kvhOrPhpGEZmSe7VAN,2000
1730,The One, Backstreet Boys,spotify:track:6e40mgJiCid5HRAGrbpGA6,2000
1731,Separated, Avant,spotify:track:4mqxoq5MzQUnPg9AyFlVEt,2000
1732,Smooth, Santana Featuring Rob Thomas,spotify:track:1Yp6SnaxRGguBjcEFarluk,2000
1733,Bye Bye Bye, 'N Sync,spotify:track:62bOmKYxYg7dhrC6gH9vFn,2000
1734,Where I Wanna Be, Donell Jones,spotify:track:2uZwyxrg6VPvlVsvclIfel,2000
1735,Wifey, Next,spotify:track:3NEzjZbeSCy72Kx1clSYgC,2000
1736,Better Off Alone, Alice Deejay,spotify:track:48gBfTRel9fajeev7tmLpo,2000
1737,It Feels So Good, Sonique,spotify:track:6AlUth5aiPqC1W4Lk3GVld,2000
1738,Crash And Burn, Savage Garden,spotify:track:60g4sp8i3gXSb1EkphMl1g,2000
1739,"Jumpin, Jumpin", Destiny's Child,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,2000
1740,I Hope You Dance, Lee Ann Womack,spotify:track:65B1tEOv5W294uCKbmEcFV,2000
1741,Party Up (Up In Here), DMX,spotify:track:4XSgaQfGgJ9FDCcvmOe404,2000
1742,Couldnt Last A Moment, Collin Raye,spotify:track:72mr7QyZEQbrX89SxtePOc,2000
1743,The Chain Of Love, Clay Walker,spotify:track:68AhslXGVDKUUyHnDkORGF,2000
1744,Desert Rose, Sting Featuring Cheb Mami,N/A,2000
1745,The Next Episode, Dr. Dre Featuring Snoop Dogg,N/A,2000
1746,The Way You Love Me, Faith Hill,spotify:track:6vgN6KGstss0GnBbKlMNK9,2000
1747,Purest Of Pain (A Puro Dolor), Son By Four,spotify:track:6RUa3ZwZYnJnNgZxtIYJR9,2000
1748,Dance Tonight, Lucy Pearl,spotify:track:1TwVcKR6JojvPwBGbWZT36,2000
1749,Shes More, Andy Griggs,spotify:track:0bF8vEqQyvTfAMWkbP7MnY,2000
1750,Kryptonite, 3 Doors Down,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,2000
1751,Doesnt Really Matter, Janet,spotify:track:1G6fZu8udnnkJgg8NUoHak,2000
1752,Shackles (Praise You), Mary Mary,spotify:track:5siee1e4lz8uF51OokjglA,2000
1753,WhatChu Like, Da Brat Featuring Tyrese,N/A,2000
1754,Unconditional, Clay Davidson,spotify:track:2vmL6YN8FcqbcHQcmv0BVh,2000
1755,What I Need To Do, Kenny Chesney,spotify:track:203F5fqdu8WK880DM2cqVe,2000
1756,Graduation (Friends Forever), Vitamin C,spotify:track:45V4Mk7vZV2b9JfSWuUX9m,2000
1757,Prayin For Daylight, Rascal Flatts,spotify:track:0DAVCurdi9ZqkVUKIuikzm,2000
1758,I Need You, LeAnn Rimes,spotify:track:2AogRMqARWyUP7VQ3gmSoY,2000
1759,Some Things Never Change, Tim McGraw,spotify:track:2xVsM0134vrQSNFZOPcBHZ,2000
1760,Ill Be, Reba McEntire,spotify:track:2irD199RNcPDZcNkea7RAE,2000
1761,I Think God Can Explain, Splender,spotify:track:3YW5qaMNCsMnta8L0j1btB,2000
1762,I Wanna Be With You, Mandy Moore,spotify:track:4du0TY3NTgvQGlelrBHfDL,2000
1763,Wobble Wobble, 504 Boyz,spotify:track:6jb1scW79m0Hjx0KVL9RBl,2000
1764,Flowers On The Wall, Eric Heatherly,spotify:track:3kgMG3gvIInB7t0RgqjQFH,2000
1765,What About Now, Lonestar,spotify:track:2Fsg9at6oxnR7h6PhNcOmE,2000
1766,Whatever, Ideal Featuring Lil' Mo,N/A,2000
1767,Could I Have This Kiss Forever, Whitney Houston & Enrique Iglesias,spotify:track:0c7CDm2XzAYBcTuB74cgVt,2000
1768,Only God Knows Why, Kid Rock,spotify:track:1rAzW6aco1ZtxLRx4XOagB,2000
1769,Mirror Mirror, M2M,spotify:track:2gX1J5hbHs1V7gkHsNglTv,2000
1770,"Same Script, Different Cast", Whitney Houston & Deborah Cox,spotify:track:7tvwbwZxcAH6kmfeh0GVpJ,2000
1771,Best Of Me, Mya Featuring Jadakiss,spotify:track:3uLJA6A6gsEBYhqQR7C4wj,2000
1772,More, Trace Adkins,spotify:track:3k5aZuYJfbfcVK9aj8xJOS,2000
1773,With Arms Wide Open, Creed,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,2000
1774,I Will Love Again, Lara Fabian,spotify:track:1raT3L0NJtc10t7xNgHJZ1,2000
