,Summer Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
612,How To Love, Lil Wayne,spotify:track:4aX4Oycsk1fhHIee1zqsDe,2011,0.641,0.667,0.000165,0.29,154.025,3.22e-06
613,Every Teardrop Is A Waterfall, Coldplay,spotify:track:2U8g9wVcUu9wsg6i7sFSv8,2011,0.425,0.733,0.00193,0.313,117.985,0.00922
614,Look At Me Now, Chris Brown Featuring Lil Wayne & Busta Rhymes,spotify:track:7DVNiZEpZHMrVpt63zqwkm,2011,0.928,0.594,0.00887,0.0504,146.0,0.735
615,Roll Up, Wiz Khalifa,spotify:track:53DB6LJV9B8sz0p1s6tlGS,2011,0.523,0.805,0.0524,0.602,125.358,0
616,Im On One," DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
617,Dont Wanna Go Home, Jason Derulo,spotify:track:1r3myKmjWoOqRip99CmSj1,2011,0.671,0.808,0.02,0.637,121.956,0
618,Blow, Ke$ha,spotify:track:5FQazQxWUHsJ8QDaXLdFzR,2011,0.752,0.73,0.00272,0.769,120.032,3.62e-05
619,Good Life, OneRepublic,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,2011,0.636,0.699,0.0929,0.637,94.966,0
620,Honey Bee, Blake Shelton,spotify:track:0gY2iq0xJPRoIB1PScKSw4,2011,0.481,0.849,0.00167,0.723,205.57,1.49e-06
621,Tonight Tonight, Hot Chelle Rae,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,2011,0.686,0.783,0.0764,0.814,99.978,0
622,Motivation, Kelly Rowland Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
623,Just A Kiss, Lady Antebellum,spotify:track:2nRvKHh2mtOfIQ4jcAkP9q,2011,0.593,0.639,0.446,0.332,142.881,0
624,Down On Me, Jeremih Featuring 50 Cent,spotify:track:5ME7AGe4wFH0KVaJ5NUBJs,2011,0.599,0.718,0.00976,0.435,160.005,0.951
625,F**k You! (Forget You), Cee Lo Green,spotify:track:3njCUL4J8gDHlm7dXk25IL,2011,0.702,0.521,0.00164,0.656,127.473,0.918
626,Who Says, Selena Gomez & The Scene,spotify:track:3TcL0dyCMyr0kyTTc4NLgI,2011,0.679,0.933,0.0881,0.78,101.006,0
627,Country Girl (Shake It For Me), Luke Bryan,spotify:track:0yD66650JxhqKbW76C2qCo,2011,0.645,0.904,0.0293,0.671,105.97,0
628,Knee Deep, Zac Brown Band Featuring Jimmy Buffett,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
629,S&M, Rihanna Featuring Britney Spears,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
630,Last Friday Night (T.G.I.F.), Katy Perry,spotify:track:455AfCsOhhLPRc68sE01D8,2011,0.649,0.815,0.00125,0.765,126.03,4.31e-05
631,Written In The Stars, Tinie Tempah Featuring Eric Turner,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
632,F**kin Perfect, P!nk,spotify:track:2SEI9JwbW7Fy6uCSGzg8D9,2011,0.646,0.238,0.871,0.658,75.054,0.934
633,Price Tag, Jessie J Featuring B.o.B,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
634,For The First Time, The Script,spotify:track:09ZcYBGFX16X8GMDrvqQwt,2011,0.396,0.629,0.0328,0.358,173.794,0
635,Monster, Paramore,spotify:track:04BSvYghzdxjSJNpee36er,2011,0.413,0.969,2.87e-05,0.374,164.999,0.000753
636,Mean, Taylor Swift,spotify:track:5yEPktRqvIhko5QFF3aBhQ,2011,0.578,0.742,0.439,0.787,163.911,0
637,All Of The Lights, Kanye West,spotify:track:22L7bfCiAkJo5xGSQgmiIO,2011,0.558,0.794,0.0724,0.297,142.156,2.15e-05
638,She Aint You, Chris Brown,spotify:track:4QczAMpo49owCaNZgtoIvv,2011,0.634,0.716,0.0341,0.619,91.039,0
639,Firework, Katy Perry,spotify:track:4lCv7b86sLynZbXhfScfm2,2011,0.638,0.826,0.139,0.649,124.072,0
640,Sure Thing, Miguel,spotify:track:0JXXNGljqupsJaZsgSbMZV,2011,0.684,0.603,0.0275,0.504,81.0,0.000311
641,You Lie, The Band Perry,spotify:track:462tT5pBVstoLcOSJsBBKw,2011,0.515,0.663,0.408,0.575,170.92,1.23e-06
642,My Last, Big Sean Featuring Chris Brown,spotify:track:34SctENwnLw7yCwgIuhRiv,2011,0.766,0.725,0.0156,0.0765,88.012,0.541
643,Just The Way You Are, Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,2011,0.637,0.843,0.0151,0.434,109.012,0
644,Tomorrow, Chris Young,spotify:track:1qjl8UJtWTHrk4SFpwftSN,2011,0.441,0.644,0.56,0.349,141.733,0
645,If I Die Young, The Band Perry,spotify:track:4u26EevCNXMhlvE1xFBJwX,2011,0.594,0.502,0.402,0.314,130.674,0
646,Dirty Dancer, Enrique Iglesias With Usher Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
647,Hello, Martin Solveig & Dragonette,spotify:track:7eoLiscFUGc0sXT0YW2170,2011,0.785,0.915,0.0538,0.923,127.999,0.002
648,Born This Way, Lady Gaga,spotify:track:6r2BECwMgEoRb5yLfp0Hca,2011,0.59,0.817,0.0049,0.491,123.895,0
649,Backseat, New Boyz Featuring The Cataracs & Dev,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
650,Barefoot Blue Jean Night, Jake Owen,spotify:track:3ts6xK5GzfMAAriT9AIBmP,2011,0.6,0.808,0.208,0.809,172.016,0
651,Best Love Song, T-Pain Featuring Chris Brown,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
652,Old Alabama, Brad Paisley Featuring Alabama,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
653,Without You, Keith Urban,spotify:track:0KzEhOxVbub9dglj5mMyCc,2011,0.496,0.397,0.463,0.611,160.021,6.54e-06
654,If Heaven Wasnt So Far Away, Justin Moore,spotify:track:24Ew0QYeGLh62CX4bz9iGJ,2011,0.492,0.466,0.0525,0.385,75.513,0
655,I Wont Let Go, Rascal Flatts,spotify:track:1T1C9VVQ1lb60WxWZx7KoG,2011,0.542,0.425,0.707,0.183,131.772,0
656,You And Tequila, Kenny Chesney Featuring Grace Potter,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
657,Where Them Girls At, David Guetta Featuring Flo Rida & Nicki Minaj,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
658,Remind Me, Brad Paisley Duet With Carrie Underwood,spotify:track:10yIZv28DUZPHkdqJfzEZs,2011,0.484,0.78,0.0533,0.311,140.758,1.27e-06
659,California King Bed, Rihanna,spotify:track:2dPOobBArCJotBAs0ThXqL,2011,0.469,0.616,0.246,0.341,169.878,0
660,Racks, YC Featuring Future,spotify:track:4PbeMT55HgdZ9teYun8Q6c,2011,0.715,0.584,0.00586,0.224,139.966,0
661,Homeboy, Eric Church,spotify:track:29aSfWddeZJCfnrcMb20sy,2011,0.558,0.673,0.015,0.445,139.985,0.000655
662,Man Down, Rihanna,spotify:track:454h9zAIuTe1eJyw9iTnj4,2011,0.477,0.905,0.0428,0.559,155.856,0
663,Run The World (Girls), Beyonce,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,2011,0.733,0.899,0.00496,0.76,127.086,4.72e-05
664,Never Gonna Leave This Bed, Maroon 5,spotify:track:4ucLHLiSjvkCz5Lr5dlVUj,2011,0.603,0.775,0.132,0.483,117.342,0
665,The Story Of Us, Taylor Swift,spotify:track:3RBluWmSoG2pGA1OePzGJI,2011,0.542,0.802,0.00706,0.707,139.907,0.000323
666,Am I The Only One, Dierks Bentley,spotify:track:59tUXZ9dL0qkaa18WCfUnZ,2011,0.579,0.878,0.29,0.88,165.972,0
667,I Love You This Big, Scotty McCreery,spotify:track:3wtKovRRtvu6wbTjeKA26Q,2011,0.527,0.683,0.0809,0.369,83.985,0.00019
668,Crazy Girl, Eli Young Band,spotify:track:1nVLAEzhBXMJLR5zAl90Nl,2011,0.358,0.708,0.0006,0.227,150.966,0.00498
669,Out Of My Head, Lupe Fiasco Featuring Trey Songz,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
670,I Need A Doctor, Dr. Dre Featuring Eminem & Skylar Grey,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
671,Pumped Up Kicks, Foster The People,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,2011,0.733,0.71,0.145,0.965,127.975,0.115
672,Pause, Pitbull,spotify:track:0c7wqpBLOTFr1yb70LHGFM,2011,0.833,0.921,0.000153,0.511,127.92,0.000195
673,Bleed Red, Ronnie Dunn,spotify:track:3le02vCQLrhxWNi3C7AlDu,2011,0.487,0.668,0.346,0.184,90.083,4.56e-05
674,Best Thing I Never Had, Beyonce,spotify:track:3lBRNqXjPp2j3JMTCXDTNO,2011,0.545,0.649,0.143,0.297,99.099,1.57e-05
675,John, Lil Wayne Featuring Rick Ross,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
676,Heart Like Mine, Miranda Lambert,spotify:track:4EDeBzhZMcHEx7A8IcDiaL,2011,0.437,0.844,0.0642,0.493,155.066,1.42e-06
677,Heartless, Dia Frampton,spotify:track:5xbtFVrkqpVD8lzHOI9lR7,2011,0.46,0.842,0.283,0.596,156.1,0
678,Hustle Hard, Ace Hood,spotify:track:68LR4RQ7JLHwRodWxPOB0k,2011,0.83,0.749,0.00501,0.193,140.023,0
679,Right There, Nicole Scherzinger Featuring 50 Cent,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
680,Country Song, Seether,spotify:track:2abHKI9Oox4NBEhOh3HMbq,2011,0.63,0.851,0.000982,0.907,95.981,2.64e-06
681,Far Away, Marsha Ambrosius,spotify:track:5KVbaJP4IOZmZZlj5v4jp2,2011,0.433,0.668,0.221,0.351,70.478,0
682,Take A Back Road, Rodney Atkins,spotify:track:7B6m8tHAYZsOKOKMU5SR2n,2011,0.581,0.856,0.183,0.918,169.902,0
683,The Cave, Mumford & Sons,spotify:track:3pLTOP0G0etiWUknFoRpsr,2011,0.576,0.486,0.0606,0.337,141.951,0.000143
684,Keep Your Head Up, Andy Grammer,spotify:track:4Jz4bjXeiF2SXVj9P4YfY5,2011,0.674,0.778,0.0469,0.816,90.01,0
685,Best Friends Brother, Victorious Cast Featuring Victoria Justice,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
686,Unusual, Trey Songz Featuring Drake,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
687,Im Into You, Jennifer Lopez Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
688,Just Fishin, Trace Adkins,spotify:track:4xIWgRt9IcFed52w7XPdFG,2011,0.586,0.7,0.0077,0.455,86.532,0.0636
689,I Smile, Kirk Franklin,spotify:track:0UQDSP8cz6WmLJckO5jqUQ,2011,0.745,0.753,0.223,0.589,144.057,0
690,Somewhere Else, Toby Keith,spotify:track:41vSqn8lbTtooJiT6tWn2d,2011,0.677,0.613,0.42,0.779,88.992,5.31e-06
691,Judas, Lady Gaga,spotify:track:0QkWikH5Z3U0f79T9iuF6c,2011,0.677,0.931,0.00124,0.54,130.999,4.18e-05
692,Bow Chicka Wow Wow, Mike Posner Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
693,Bang Bang Bang, Selena Gomez & The Scene,spotify:track:1P5RYVvxPVrzonLqAC8uxk,2011,0.78,0.778,0.28,0.828,114.003,1.14e-06
694,Made In America, Toby Keith,spotify:track:0sl8awl4hoj9cjU2AJqBjl,2011,0.482,0.753,0.0775,0.467,172.149,0
695,Not Over You, Gavin DeGraw,spotify:track:6j7hih15xG2cdYwIJnQXsq,2011,0.63,0.894,0.255,0.364,142.051,0
696,You, Romeo Santos,spotify:track:1sQrCwV8vvtYLqa0KQlwE9,2011,0.725,0.625,0.318,0.845,132.108,0
697,Did It Onem, Nicki Minaj,spotify:track:61MiqNJGMfIr68aJDNfbCB,2011,0.404,0.758,0.00446,0.475,152.058,0.891
698,Donald Trump, Mac Miller,spotify:track:3uulVrxiI7iLTjOBZsaiF8,2011,0.636,0.901,0.119,0.836,162.994,0
699,Teenage Daughters, Martina McBride,spotify:track:6wxwluMol35MvBMIej6NNl,2011,0.568,0.723,0.365,0.485,91.027,0
700,California Gurls, Katy Perry Featuring Snoop Dogg,spotify:track:3YqjvN1NFvKMGi4qYNCvR4,2010,0.769,0.45,0.00112,0.839,125.008,0.202
701,OMG, Usher Featuring will.i.am,spotify:track:3KxAjqlVE4bvhcI894f4Ig,2010,0.745,0.632,0.000594,0.813,129.979,0.00211
702,Airplanes, B.o.B Featuring Hayley Williams,spotify:track:5bK8moEKs0I2DiMOqUik6R,2010,0.706,0.663,0.0522,0.479,93.004,0.845
703,Billionaire, Travie McCoy Featuring Bruno Mars,spotify:track:5d5ty02xrlgj8saE83TYg4,2010,0.786,0.536,0.00681,0.528,87.007,0.0358
704,Alejandro, Lady Gaga,spotify:track:15pu8u4n3q4BKl4tF20c5v,2010,0.632,0.789,0.00043,0.35,98.986,0.00144
705,Your Love Is My Drug, Ke$ha,spotify:track:4AboqNl74jNDpJhPfqYDmj,2010,0.829,0.607,0.0049,0.766,120.044,0
706,Break Your Heart, Taio Cruz Featuring Ludacris,spotify:track:3v89A1lFBcHRiQd3cHLMq2,2010,0.578,0.916,0.000671,0.281,122.018,0.784
707,Not Afraid, Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,2010,0.851,0.95,0.513,0.679,114.661,0
708,Rock That Body, The Black Eyed Peas,spotify:track:5K5LbSTVuKKe1KGMNfBgIW,2010,0.713,0.898,0.0197,0.858,124.976,2.62e-05
709,Find Your Love, Drake,spotify:track:4BycRneKmOs6MhYG9THsuX,2010,0.623,0.598,0.0246,0.822,96.081,0
710,Nothin On You, B.o.B Featuring Bruno Mars,spotify:track:7HMKmZQEIduuNio1nPwjqp,2010,0.771,0.546,0.189,0.928,104.043,0
711,"Hey, Soul Sister", Train,spotify:track:0KpfYajJVVGgQ32Dby7e9i,2010,0.675,0.885,0.217,0.768,97.03,0
712,Bulletproof, La Roux,spotify:track:6lUY6MoqGgPnA27PHYxem5,2010,0.686,0.898,0.000698,0.696,122.985,4.61e-05
713,Cooler Than Me, Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,2010,0.768,0.82,0.179,0.625,129.969,0
714,Need You Now, Lady Antebellum,spotify:track:11EX5yhxr9Ihl3IN1asrfK,2010,0.587,0.622,0.0927,0.231,107.943,0.000636
715,Young Forever, Jay-Z + Mr. Hudson,spotify:track:1gDH79wGZfVCfYqaOABkQK,2010,0.572,0.718,0.168,0.363,140.139,0
716,My First Kiss, 3OH!3 Featuring Ke$ha,spotify:track:5MuYlOp3a9stKZTSli0dML,2010,0.748,0.741,0.0203,0.904,138.038,6.31e-06
717,Rude Boy, Rihanna,spotify:track:60jzFy6Nn4M0iD1d94oteF,2010,0.564,0.758,0.118,0.786,173.898,0
718,Ridin Solo, Jason Derulo,spotify:track:6BaxqcoEM9r3LXisTyJjST,2010,0.442,0.83,0.128,0.578,89.338,0
719,In My Head, Jason Derulo,spotify:track:5BoIP8Eha5hwmRVURkC2Us,2010,0.762,0.748,0.0266,0.851,110.009,0
720,Breakeven, The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,2010,0.63,0.698,0.173,0.529,94.023,0
721,Un-Thinkable (Im Ready), Alicia Keys,spotify:track:4JOP8ELK6AaeySe7sKe996,2010,0.595,0.507,0.732,0.337,86.099,1.97e-05
722,Undo It, Carrie Underwood,spotify:track:4Oq3R4drZZfGWdxbhKrPvb,2010,0.476,0.847,0.111,0.663,156.229,0
723,Cant Be Tamed, Miley Cyrus,spotify:track:2r6DdaSbkbwoPzuK6NjLPn,2010,0.637,0.919,0.0359,0.793,116.987,0
724,Impossible, Shontelle,spotify:track:45EDI3rk0f4cAMt9f8b56R,2010,0.596,0.64,0.381,0.559,90.015,0
725,Your Love, Nicki Minaj,spotify:track:3bGxiCPouq52ZtI8ybMCX5,2010,0.466,0.521,0.00234,0.222,104.667,0.00362
726,All I Do Is Win," DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
727,Havent Met You Yet, Michael Buble,spotify:track:4fIWvT19w9PR0VVBuPYpWA,2010,0.615,0.733,0.152,0.796,122.58,0
728,The House That Built Me, Miranda Lambert,spotify:track:02eD9ymfJOJOhM97HYp5R9,2010,0.515,0.3,0.575,0.206,81.12,8.46e-06
729,Telephone, Lady Gaga Featuring Beyonce,spotify:track:0Usd4tz29zKhRjoEp1AW9A,2010,0.802,0.518,0.0348,0.603,122.007,0.923
730,Over, Drake,spotify:track:6BdgtqiV3oXNqBikezwdvC,2010,0.337,0.853,0.0113,0.427,101.034,0
731,I Like It, Enrique Iglesias Featuring Pitbull,spotify:track:3ZS81p0k0jf3BgBZC9Flk7,2010,0.588,0.531,0.476,0.201,142.001,0.931
732,Never Say Never, Justin Bieber Featuring Jaden Smith,spotify:track:0CECPjN001BZEKLWtDaOKW,2010,0.578,0.335,0.0316,0.325,194.179,0.856
733,My Chick Bad, Ludacris Featuring Nicki Minaj,spotify:track:0xqdUw0XJaOWOQFy1JwpKs,2010,0.773,0.166,0.255,0.333,84.945,0.882
734,I Made It (Cash Money Heroes)," Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
735,This Afternoon, Nickelback,spotify:track:1RG8MABX0VciDk6WYb8pBv,2010,0.507,0.875,0.00257,0.647,160.079,0
736,Faithfully, Glee Cast,spotify:track:7Fn84f1WeWabP3aFXW5TA8,2010,0.412,0.54,0.144,0.0998,129.891,0
737,TiK ToK, Ke$ha,spotify:track:5OMwQFBcte0aWFJFqrr5oj,2010,0.755,0.832,0.0746,0.735,120.032,1.27e-06
738,If We Ever Meet Again, Timbaland Featuring Katy Perry,spotify:track:360UM2DaiHZPRu0EsrOvMp,2010,0.646,0.635,0.00657,0.348,126.062,0
739,I Gotta Feeling, The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,2010,0.741,0.748,0.0823,0.6,127.965,0
740,Pray For You, Jaron And The Long Road To Love,spotify:track:3HMMQkT3IMvMBbvxUNPpK3,2010,0.498,0.663,0.56,0.418,139.926,0
741,Whataya Want From Me, Adam Lambert,spotify:track:2rDwdvBma1O1eLzo29p2cr,2010,0.44,0.683,0.00706,0.445,185.948,0
742,Waka Waka (This Time For Africa), Shakira Featuring Freshlyground,spotify:track:3F06IVF1UHDj79Pk6Jd2FH,2010,0.681,0.82,0.000494,0.263,127.016,0.832
743,Over The Rainbow, Glee Cast,spotify:track:4ScByt6H4vaiTlXS8dNQOc,2010,0.498,0.352,0.842,0.472,166.028,0
744,Dynamite, Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,2010,0.75,0.78,0.00622,0.824,119.985,0
745,Bad Romance, Lady Gaga,spotify:track:5P5cGNzqh6A353N3ShDK6Y,2010,0.697,0.921,0.00305,0.721,118.99,3.65e-05
746,Eenie Meenie, Sean Kingston & Justin Bieber,spotify:track:7Ac7iWJMcTrCpW21U99cxP,2010,0.776,0.871,0.000222,0.963,140.018,0.909
747,Somebody To Love, Justin Bieber Featuring Usher,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
748,Water, Brad Paisley,spotify:track:5z1T8M153gyxX6IKJemYX7,2010,0.562,0.825,0.00493,0.694,97.54,0.000629
749,Miss Me, Drake Featuring Lil Wayne,spotify:track:4tJtUGzBylWGUjnD43taEW,2010,0.679,0.923,0.166,0.72,154.039,0.88
750,Rain Is A Good Thing, Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,2010,0.622,0.932,0.105,0.519,108.051,2.37e-06
751,There Goes My Baby, Usher,spotify:track:6IUiqtI8tE49sqGbmtrNd8,2010,0.626,0.52,0.175,0.257,77.468,0
752,"Lover, Lover", Jerrod Niemann,spotify:track:5UzU0qw21okODBNUnxptVo,2010,0.879,0.567,0.184,0.948,112.472,0
753,Free, Zac Brown Band,spotify:track:4bWlAEbGHhPKQNjhTstN2p,2010,0.453,0.412,0.24,0.282,75.752,0.00021
754,She Wont Be Lonely Long, Clay Walker,spotify:track:3GevD5JYoN7rQXPSaecExb,2010,0.635,0.758,0.00643,0.322,113.002,0
755,Lose My Mind, Young Jeezy Featuring Plies,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
756,Crazy Town, Jason Aldean,spotify:track:5eH1ktZDHgegpkYJOY7tme,2010,0.43,0.841,0.13,0.489,180.977,0
757,Any Way You Want It/Lovin Touchin Squeezin, Glee Cast,spotify:track:7cHROTw8JRjEaO3hDf1GZN,2010,0.463,0.839,0.00416,0.614,145.929,0
758,Dont Stop Believin, Glee Cast,spotify:track:6rjnRocdCULjLF61x2NR5e,2010,0.473,0.604,0.038,0.271,123.857,0
759,Love Like Crazy, Lee Brice,spotify:track:6Ozp6ac86CSHMik8lbvJuM,2010,0.535,0.725,0.0203,0.292,78.489,1.45e-05
760,Hello Good Morning, Diddy - Dirty Money Featuring T.I.,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
761,Gettin Over You, David Guetta & Chris Willis Featuring Fergie & LMFAO,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
762,Got Your Back, T.I. Featuring Keri Hilson,spotify:track:4aBLg01wpcLagpqeei4rCB,2010,0.644,0.532,0.153,0.606,147.968,0.931
763,I Never Told You, Colbie Caillat,spotify:track:2rJWnAqSuLMls0KOv416Io,2010,0.495,0.64,0.191,0.338,144.141,0
764,Ride, Ciara Featuring Ludacris,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
765,Bionic, Christina Aguilera,spotify:track:4artWewaXlYPhhir8SRRE0,2010,0.227,0.393,0.853,0.0724,43.26,0
766,Beautiful Monster, Ne-Yo,spotify:track:2Q99zPXVqCPN5RaZawvJWZ,2010,0.722,0.757,0.2,0.533,127.96,0
767,Gimmie That Girl, Joe Nichols,spotify:track:4bT9arnOOeRLIn52sLjTIh,2010,0.56,0.877,0.237,0.663,81.019,0.000357
768,The Man I Want To Be, Chris Young,spotify:track:5zMRkxgFscsPItPsMy4ItS,2010,0.489,0.498,0.635,0.248,141.883,1.91e-06
769,Hey, Lil Jon Featuring 3OH!3,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
770,Winner, Jamie Foxx Featuring Justin Timberlake & T .I.,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
771,Sex Room, Ludacris Featuring Trey Songz,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
772,Not Myself Tonight, Christina Aguilera,spotify:track:3WL6Ir05DLu10j7sSMkqQy,2010,0.757,0.812,0.00137,0.542,120.015,0.018
773,Lil Freak, Usher Featuring Nicki Minaj,spotify:track:27pryAuWl4YHZwVjanCf7K,2010,0.694,0.396,0.00194,0.284,139.98,0.9
774,To Sir With Love, Glee Cast,spotify:track:6T5C1e56lt5bpLPGFszX0l,2010,0.29,0.524,0.225,0.433,199.459,0
775,Teach Me How To Dougie, Cali Swag District,spotify:track:61LtVmmkGr8P9I2tSPvdpf,2010,0.846,0.438,0.2,0.512,85.013,9.43e-05
776,Wrong Baby Wrong, Martina McBride,spotify:track:70oBJFMGCRTayEeatqXwNf,2010,0.564,0.717,0.0255,0.609,106.026,0
777,Im Back, T.I.,spotify:track:4PI6v1YqlQOpJlum5FGEQk,2010,0.816,0.79,0.614,0.77,100.28,0
778,I Keep On Loving You, Reba,spotify:track:3e4ZaMM2t6Pv25W05KfZTP,2010,0.525,0.477,0.331,0.339,127.106,0
779,Pretty Good At Drinkin Beer, Billy Currington,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
780,The Only Exception, Paramore,spotify:track:7JIuqL4ZqkpfGKQhYlrirs,2010,0.452,0.563,0.144,0.209,137.715,0
781,Im In, Keith Urban,spotify:track:0sAZEGLK6OU4VAWC9puWgh,2010,0.567,0.862,0.0382,0.661,129.98,0.000162
782,Shark In The Water, V V Brown,spotify:track:0BLPuaA32HDg6AJTUT4WMl,2010,0.554,0.805,0.0279,0.697,98.981,0
783,Bohemian Rhapsody, Glee Cast Featuring Jonathan Groff,spotify:track:0tjeY2rdrKjUjtO5IwKusl,2010,0.389,0.419,0.417,0.381,142.975,0
784,Glitter In The Air, P!nk,spotify:track:4rkVLYy60O29XSgUmVsDso,2010,0.545,0.256,0.905,0.299,99.992,0.000266
785,Neighbors Know My Name, Trey Songz,spotify:track:6jvvpPJQJy5rMOEkLlADl6,2010,0.663,0.693,0.0379,0.391,120.026,0
786,Little White Church, Little Big Town,spotify:track:0f73zOCdBx6ZPdiBjwN1AP,2010,0.667,0.878,0.13,0.816,107.024,0
787,Half Of My Heart, John Mayer,spotify:track:7hR5toSPEgwFZ78jfHdANM,2010,0.681,0.593,0.435,0.731,115.058,0.000117
788,Wavin Flag, K'Naan,spotify:track:0mBREiw4ppCXccM7rsk2RC,2010,0.632,0.71,0.131,0.668,75.964,0
789,If Its Love, Train,spotify:track:5v2IyRFbo4cEc2vZyGTAs0,2010,0.625,0.918,0.0127,0.639,94.965,2.94e-06
790,Hold You (Hold Yuh), Gyptian,spotify:track:0j55p8YRAPG8yajtNyjt6A,2010,0.69,0.621,0.321,0.497,66.858,2.81e-05
791,"Beamer, Benz, Or Bentley", Lloyd Banks Featuring Juelz Santana,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
792,Animal, Neon Trees,spotify:track:1fBl642IhJOE5U319Gy2Go,2010,0.486,0.831,0.000392,0.8,148.026,0
793,Poker Face, Glee Cast,spotify:track:1rc7RzuBYQ9KZIntUyEAVb,2010,0.467,0.195,0.924,0.288,75.896,0
794,I Gotta Get To You, George Strait,spotify:track:7zcT7r7dn89agQvz2sk2iT,2010,0.673,0.441,0.00879,0.653,115.993,8.95e-05
795,Keep On Lovin You, Steel Magnolia,spotify:track:5mrpWeULubsdBHpQVcXLqB,2010,0.491,0.799,0.0899,0.487,159.988,0
796,Everything To Me, Monica,spotify:track:4ZOkuIDN8wRczzu1XUYC4y,2010,0.308,0.529,0.479,0.485,80.794,0
797,Secrets, OneRepublic,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,2010,0.515,0.767,0.098,0.38,148.024,0
798,Woohoo, Christina Aguilera Featuring Nicki Minaj,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
799,Yeah Ya Know (Takers), T.I.,spotify:track:4JGypFKEHrlufSjF8DPl9X,2010,0.457,0.895,0.00112,0.236,139.923,0
800,Boom Boom Pow, The Black Eyed Peas,spotify:track:7xRNsqOQOgWbHV1nbXnfXN,2009,0.869,0.851,0.15,0.395,130.09,0.000873
801,I Know You Want Me (Calle Ocho), Pitbull,spotify:track:5RzFJd6W40SDTyZkX6xx45,2009,0.82,0.731,0.0133,0.793,127.076,1.94e-05
802,Knock You Down, Keri Hilson Featuring Kanye West & Ne-Yo,spotify:track:6DXlxBjG5Na4f4KI8a0y6F,2009,0.621,0.899,0.0105,0.839,155.023,0.0146
803,Birthday Sex, Jeremih,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,2009,0.675,0.545,0.261,0.445,60.048,0
804,Poker Face, Lady Gaga,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,2009,0.846,0.815,0.139,0.831,118.999,2.19e-06
805,LoveGame, Lady Gaga,spotify:track:5c0Wgs68kjgViFCVDGLB2I,2009,0.892,0.649,0.00587,0.85,105.041,1.3e-06
