,Winter Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
643,Lotus Flower Bomb, Wale Featuring Miguel,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
644,We Owned The Night, Lady Antebellum,spotify:track:7nvmiDtfh9gwYFh9Kzn7sc,2011,0.657,0.714,0.281,0.488,99.991,0.000145
645,International Love, Pitbull Featuring Chris Brown,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
646,All Your Life, The Band Perry,spotify:track:2khs94jHAVzUm3Pu4mAMmv,2011,0.53,0.517,0.269,0.454,132.064,0
647,Bang Bang Pow Pow, T-Pain Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
648,I Like It Like That, Hot Chelle Rae Featuring New Boyz,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
649,Drink In My Hand, Eric Church,spotify:track:1cktZnxiONH0hR6Q3DKy8h,2011,0.626,0.913,0.00635,0.946,113.044,0
650,Survivor / I Will Survive, Glee Cast,spotify:track:77arwHFzLS7EPSmUIsN6h2,2011,0.563,0.913,0.00773,0.311,128.083,0
651,It Girl, Jason Derulo,spotify:track:4fINc8dnfcz7AdhFYVA4i7,2011,0.668,0.718,0.0165,0.345,91.993,0
652,We Are Young, fun. Featuring Janelle Monae,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
653,Let It Rain, David Nail Featuring Sarah Buxton,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
654,Party, Beyonce Featuring Andre 3000,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
655,You, Chris Young,spotify:track:6W9W8dSswA8KNegvl3W97V,2011,0.616,0.893,0.000937,0.567,111.959,0
656,Rack City, Tyga,spotify:track:0srwKuJPH8yBzzFUJMBQM2,2011,0.927,0.328,0.0471,0.22,98.95,1.54e-05
657,Blackout, Breathe Carolina,spotify:track:3RLC8jJmDOZwrJ5izaISXr,2011,0.662,0.819,0.00537,0.801,122.951,0
658,You And I, Lady Gaga,spotify:track:6rkAY9rk1NTFB94QxG3LJR,2011,0.5,0.716,0.0933,0.52,127.066,0
659,Strange Clouds, B.o.B Featuring Lil Wayne,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
660,Take Care, Drake Featuring Rihanna,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
661,A Thousand Years, Christina Perri,spotify:track:6lanRgr6wXibZr8KgzXxBl,2011,0.421,0.407,0.309,0.161,139.028,0.000961
662,Brighter Than The Sun, Colbie Caillat,spotify:track:5YTtTbqxUzJHD3CpbNHerP,2011,0.629,0.798,0.00808,0.599,95.976,1.85e-06
663,Lonely Boy, The Black Keys,spotify:track:3dOAXUx7I1qnzWzxdnsyB8,2011,0.356,0.872,0.00417,0.607,166.3,0.00975
664,Ours, Taylor Swift,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg,2011,0.608,0.576,0.535,0.229,159.853,0
665,Baggage Claim, Miranda Lambert,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
666,Heartbeat, The Fray,spotify:track:2atYprr9JsQaLynGhrWhld,2011,0.458,0.821,0.000594,0.323,144.46,9.46e-05
667,Tonight Is The Night, Outasight,spotify:track:0tr0D36L1RwPdUTFfyNq37,2011,0.625,0.786,0.0343,0.537,119.982,1.05e-06
668,Tongue Tied, Grouplove,spotify:track:0GO8y8jQk1PkHzS31d699N,2011,0.56,0.936,0.00847,0.371,112.96,0
669,When We Stand Together, Nickelback,spotify:track:4bCOAuhvjsxbVBM5MM8oik,2011,0.446,0.9,0.000102,0.88,187.961,1.89e-05
670,Cant Get Enough, J. Cole Featuring Trey Songz,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
671,You The Boss, Rick Ross Featuring Nicki Minaj,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
672,That Way, Wale Featuring Jeremih & Rick Ross,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
673,Im Gonna Love You Through It, Martina McBride,spotify:track:3qpgmZfF8BDXqncaZYi4Eq,2011,0.427,0.684,0.311,0.277,142.621,0
674,The Trouble With Girls, Scotty McCreery,spotify:track:0Yvyj5YkjSBNgD4Ai0clSG,2011,0.549,0.492,0.367,0.327,132.016,0
675,Man In The Mirror, Glee Cast,spotify:track:4PcrxYt1pnxf3KApGx9BGA,2011,0.755,0.717,0.305,0.41,100.327,0
676,Home, Dierks Bentley,spotify:track:2WKCH4ISejDV9ad7iPp5XU,2011,0.554,0.849,0.0246,0.683,116.992,0.000233
677,I Got You, Thompson Square,spotify:track:0KGWGfFDNoVVGOPvoFZw6w,2011,0.533,0.799,0.0123,0.521,127.04,0.000879
678,Reality, Kenny Chesney,spotify:track:0X0zDB7RqpWOIwCHGr2Whu,2011,0.315,0.925,0.00296,0.415,185.305,0.0642
679,Levels, Avicii,spotify:track:5QjJgPU8AJeickx34f7on6,2011,0.605,0.873,0.0534,0.476,126.026,0.837
680,Shake It Out, Florence + The Machine,spotify:track:4lY95OMGb9WxP6IYut64ir,2011,0.519,0.808,0.0126,0.251,107.505,0
681,Nothing, The Script,spotify:track:0c3yfC8zMRJGvmqphczhZb,2011,0.473,0.833,0.00369,0.503,157.012,0
682,Roman In Moscow, Nicki Minaj,spotify:track:6snTyt6Vld2R0SbKl5fZIY,2011,0.583,0.9,0.0656,0.198,90.049,0
683,Wish You Were Here, Avril Lavigne,spotify:track:72po8JKu6e1hLtQ7kGJPg3,2011,0.46,0.866,0.0268,0.345,165.956,0
684,Sparks Fly, Taylor Swift,spotify:track:1q8E1FfFuhd12c5JcJwPxQ,2011,0.61,0.797,0.0425,0.435,114.979,0
685,Storm Warning, Hunter Hayes,spotify:track:71DDK14XVxkXLmG3AVi1BP,2011,0.483,0.843,0.0331,0.772,185.998,0
686,Bait A Hook, Justin Moore,spotify:track:6cAxSUPzHyywECgGSvoLyf,2011,0.669,0.793,0.0232,0.598,105.959,0
687,ABC, Glee Cast,spotify:track:73o83gUyd4hdmGdYNYcTJp,2011,0.753,0.948,0.16,0.771,99.009,0
688,Promise, Romeo Santos Featuring Usher,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
689,Alone With You, Jake Owen,spotify:track:2Xdatbm43IXEVi0wmKeJve,2011,0.646,0.761,0.221,0.336,108.999,0
690,You Gonna Fly, Keith Urban,spotify:track:5B25Jpgu62IX8w1YtLibuA,2011,0.457,0.846,0.0598,0.851,177.353,0
691,Red Solo Cup, Glee Cast,spotify:track:1p4t76Y2XreMC6uECFLvmn,2011,0.507,0.601,0.583,0.631,165.434,0
692,Ill Be Home For Christmas, Kelly Clarkson,spotify:track:6OYMdu2HEKjwfh8jwijxbL,2011,0.392,0.172,0.943,0.224,83.389,0.000232
693,Crawling Back To You, Daughtry,spotify:track:4lwEBL5hshyH5t9GmyE1uf,2011,0.426,0.9,0.00667,0.161,151.036,0
694,Camouflage, Brad Paisley,spotify:track:6hVgzcyMmjNKaJn5VRZX3H,2011,0.56,0.965,0.0325,0.771,113.633,0.000984
695,Body 2 Body, Ace Hood Featuring Chris Brown,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
696,Round Of Applause, Waka Flocka Flame Featuring Drake,N/A,2011,N/A,N/A,N/A,N/A,N/A,N/A
697,Love On Top, Beyonce,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,2011,0.652,0.748,0.0849,0.652,94.1,0
698,Amen, Edens Edge,spotify:track:0cunAi5FhuVTMMIE9XfqfP,2011,0.515,0.7,0.369,0.44,179.023,0
699,Sail, AWOLNATION,spotify:track:5xhQChGGhKLWqBqX4XhtYE,2011,0.825,0.435,0.452,0.243,119.038,0.609
700,Firework, Katy Perry,spotify:track:4lCv7b86sLynZbXhfScfm2,2010,0.638,0.826,0.139,0.649,124.072,0
701,Whats My Name?, Rihanna Featuring Drake,spotify:track:4TfJ5GoaTa3EVkl1yrYK5W,2010,0.692,0.517,0.167,0.544,99.99,0.739
702,Grenade, Bruno Mars,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,2010,0.706,0.558,0.146,0.227,110.443,0
703,Raise Your Glass, P!nk,spotify:track:12lZTPlXwUtrQuhEty6098,2010,0.7,0.695,0.00629,0.633,122.028,0
704,We R Who We R, Ke$ha,spotify:track:0Ji2g9AlYLVHAMG5PJoHPU,2010,0.734,0.821,0.00709,0.648,119.993,0.00281
705,Only Girl (In The World), Rihanna,spotify:track:6jAsmDJI8iPhGWtS27kZ67,2010,0.78,0.714,0.119,0.666,125.924,4.1e-06
706,Just The Way You Are, Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,2010,0.637,0.843,0.0151,0.434,109.012,0
707,The Time (Dirty Bit), The Black Eyed Peas,spotify:track:7vWFaMq63AwkFDhS2OAg5u,2010,0.829,0.798,0.0782,0.482,127.991,3.78e-06
708,Just A Dream, Nelly,spotify:track:3ZdJffjzJWFimSQyxgGIxN,2010,0.554,0.764,0.0413,0.0991,90.0,0
709,Bottoms Up, Trey Songz Featuring Nicki Minaj,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
710,Black And Yellow, Wiz Khalifa,spotify:track:5A6OHHy73AR5tLxgTc98zz,2010,0.684,0.834,0.0646,0.538,164.02,0
711,Like A G6, Far*East Movement Featuring Cataracs & Dev,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
712,DJ Got Us Fallin In Love, Usher Featuring Pitbull,spotify:track:5qxULZVAM943gPjtMaH5NX,2010,0.639,0.907,0.0444,0.699,120.954,0
713,Dynamite, Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,2010,0.75,0.78,0.00622,0.824,119.985,0
714,Tonight (Im Lovin You), Enrique Iglesias Featuring Ludacris & DJ Frank E,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
715,No Hands, Waka Flocka Flame Featuring Roscoe Dash & Wale,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
716,Please Dont Go, Mike Posner,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,2010,0.699,0.882,0.00296,0.657,120.016,0.0544
717,Thats All She Wrote, T.I. Featuring Eminem,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
718,Stereo Love, Edward Maya & Vika Jigulina,spotify:track:6pQGz6cCWoMgnVTirIhZ18,2010,0.668,0.749,0.0234,0.128,127.113,0.000298
719,Teenage Dream, Katy Perry,spotify:track:55qBw1900pZKfXJ6Q9A2Lc,2010,0.719,0.804,0.0132,0.605,119.999,3.02e-06
720,Animal, Neon Trees,spotify:track:1fBl642IhJOE5U319Gy2Go,2010,0.486,0.831,0.000392,0.8,148.026,0
721,Yeah 3X, Chris Brown,spotify:track:5PypFTXJ4Ij2nMvxKRjjv2,2010,0.712,0.889,0.000393,0.66,129.95,1.08e-06
722,F**k You! (Forget You), Cee Lo Green,spotify:track:3njCUL4J8gDHlm7dXk25IL,2010,0.702,0.521,0.00164,0.656,127.473,0.918
723,Coming Home, Diddy - Dirty Money Featuring Skylar Grey,spotify:track:3NffozjRKc1gVrKDK1bL3S,2010,0.583,0.577,0.00186,0.166,168.014,0.941
724,Secrets, OneRepublic,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,2010,0.515,0.767,0.098,0.38,148.024,0
725,Right Thru Me, Nicki Minaj,spotify:track:180jaPAbXwB4nvtieXteYf,2010,0.565,0.677,0.103,0.215,162.283,0.00241
726,Whip My Hair, Willow,spotify:track:2LXyM3mXlRPIJwqyIoFh6n,2010,0.543,0.981,0.00152,0.671,162.786,0.00759
727,If I Die Young, The Band Perry,spotify:track:4u26EevCNXMhlvE1xFBJwX,2010,0.594,0.502,0.402,0.314,130.674,0
728,Right Above It, Lil Wayne Featuring Drake,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
729,Club Cant Handle Me, Flo Rida Featuring David Guetta,spotify:track:4nZ246DJOSM0rKCYrTETnL,2010,0.544,0.639,0.000843,0.227,128.007,0.896
730,I Like It, Enrique Iglesias Featuring Pitbull,spotify:track:3ZS81p0k0jf3BgBZC9Flk7,2010,0.588,0.531,0.476,0.201,142.001,0.931
731,Hey Baby (Drop It To The Floor), Pitbull Featuring T-Pain,spotify:track:5pb56SeU0MN9TkUjhsCU0L,2010,0.851,0.43,0.000213,0.504,128.049,0.887
732,Aston Martin Music, Rick Ross Featuring Drake & Chrisette Michele,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
733,Back To December, Taylor Swift,spotify:track:3DrjZArsPsoqbLzUZZV1Id,2010,0.527,0.667,0.121,0.313,141.901,0
734,Christmas Lights, Coldplay,spotify:track:4fzyvSu73BhGvi96p2zwjL,2010,0.312,0.418,0.131,0.237,130.795,0.000679
735,Deuces, Chris Brown Featuring Tyga & Kevin McCall,spotify:track:3QkXEz9TxApuk1JpDmeWnS,2010,0.644,0.739,0.0311,0.231,74.154,0
736,Somewhere With You, Kenny Chesney,spotify:track:3pkzJjJXfdDjhpXx639MIH,2010,0.68,0.849,0.0862,0.536,111.969,0.00013
737,No Love, Eminem Featuring Lil Wayne,spotify:track:6m87TDdCWeODN8x8GrZTHA,2010,0.591,0.92,0.0363,0.349,129.951,0
738,My Kinda Party, Jason Aldean,spotify:track:2qYsSHsYkihWx043HVJQRV,2010,0.68,0.741,0.347,0.635,127.024,1.87e-06
739,Love The Way You Lie, Eminem Featuring Rihanna,spotify:track:1oHSFSaUdIHXTCE8GO0W9N,2010,0.576,0.521,0.244,0.772,173.982,0.853
740,Felt Good On My Lips, Tim McGraw,spotify:track:2D2tn77f5ZrADmf8h4zR3t,2010,0.56,0.869,0.024,0.519,136.001,2.94e-06
741,Love Like Woe, The Ready Set,spotify:track:4XRZbiVdsA5qv6f6qP70lS,2010,0.697,0.775,0.139,0.822,90.015,0
742,Stuck Like Glue, Sugarland,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,2010,0.62,0.799,0.322,0.804,168.024,0
743,Cant Be Friends, Trey Songz,spotify:track:0H6fDB7YaMZe1rXCmATx9l,2010,0.451,0.588,0.0643,0.332,171.849,0
744,Pretty Girl Rock, Keri Hilson,spotify:track:2Adn2LNgkHMH5TelQVAu4n,2010,0.665,0.882,0.203,0.885,160.023,0
745,Memories, David Guetta Featuring Kid Cudi,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
746,As Shes Walking Away, Zac Brown Band Featuring Alan Jackson,spotify:track:53gRooLqPTfNPUHZvsWdP9,2010,0.557,0.536,0.228,0.327,92.003,0.0382
747,Dog Days Are Over, Florence + The Machine,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,2010,0.504,0.812,0.059,0.319,150.11,0.000526
748,Jar Of Hearts, Christina Perri,spotify:track:0HZhYMZOcUzZKSFwPOti6m,2010,0.349,0.348,0.726,0.0886,74.541,0
749,Mine, Taylor Swift,spotify:track:0dBW6ZsW8skfvoRfgeerBF,2010,0.619,0.767,0.00417,0.628,121.036,1.46e-06
750,We No Speak Americano, Yolanda Be Cool & Dcup,spotify:track:460IQXPBqCTiPRMzH4bgsy,2010,0.866,0.692,0.0283,0.494,125.003,0.277
751,Kush, Dr. Dre Featuring Snoop Dogg & Akon,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
752,Turn On The Radio, Reba,spotify:track:6A2hvKTF2FShj0Yma7CP8N,2010,0.625,0.853,0.0306,0.78,123.11,0
753,Who Are You When Im Not Looking, Blake Shelton,spotify:track:15fZHvjZXoAILTvmt4EXIk,2010,0.412,0.457,0.409,0.202,74.824,0.0187
754,Rhythm of Love, Plain White T's,spotify:track:6MDTpYxPFL0wtFd0pjfKws,2010,0.531,0.542,0.356,0.726,171.878,0
755,Mamas Song, Carrie Underwood,spotify:track:4pPIWWOny4xWSiSRPsIY1c,2010,0.354,0.664,0.443,0.235,79.742,0
756,"Baby, Its Cold Outside", Glee Cast,spotify:track:7irY7Ldcf6BFpycGl62vum,2010,0.52,0.271,0.618,0.509,110.789,0
757,Why Wait, Rascal Flatts,spotify:track:3uSeT5T2pOEx5fTdYFJasm,2010,0.602,0.78,0.153,0.534,122.031,0
758,Welcome Christmas, Glee Cast,spotify:track:453OW4naq3cgZlk9oaHCu9,2010,0.419,0.254,0.911,0.0819,110.822,0
759,Rocketeer, Far*East Movement Featuring Ryan Tedder,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
760,Put You In A Song, Keith Urban,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
761,Down On Me, Jeremih Featuring 50 Cent,spotify:track:5ME7AGe4wFH0KVaJ5NUBJs,2010,0.599,0.718,0.00976,0.435,160.005,0.951
762,Only Prettier, Miranda Lambert,spotify:track:0qzGQEG8PUEMZPu5fA33YF,2010,0.564,0.173,0.978,0,148.468,0.812
763,Lay It Down, Lloyd,spotify:track:0npGoOENjn7vVvIMmvWekQ,2010,0.524,0.793,0.0208,0.551,156.052,0
764,Hold My Hand, Michael Jackson Duet With Akon,spotify:track:53IPU2D8IKWhitVuDk7fta,2010,0.433,0.489,0.789,0.441,180.113,0.956
765,The Breath You Take, George Strait,spotify:track:0zKsfGlBHj6mzZRhmACl8M,2010,0.475,0.393,0.749,0.315,132.128,0.000409
766,Who Dat Girl, Flo Rida Featuring Akon,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
767,Rolling In The Deep, Adele,spotify:track:1CkvWZme3pRgbzaxZnTl5X,2010,0.729,0.756,0.131,0.522,104.945,0
768,Voices, Chris Young,spotify:track:5pemEFax3jfocz4FGHa3UC,2010,0.552,0.788,0.38,0.641,76.528,0
769,Dont You Wanna Stay, Jason Aldean With Kelly Clarkson,spotify:track:7CZiLgkiVHhFcDkI2Y4lZ4,2010,0.445,0.631,0.129,0.152,143.846,0
770,Let Me Down Easy, Billy Currington,spotify:track:1tZ5C8zI326sIB4kBErdmC,2010,0.61,0.497,0.362,0.163,125.029,0
771,Anything Like Me, Brad Paisley,spotify:track:74mZKvZcZzzvbOnt8NfWda,2010,0.545,0.522,0.422,0.446,164.869,0
772,Runaway, Kanye West Featuring Pusha T,spotify:track:0HdQ1ziXFCx0B1q7ZRa4PL,2010,0.591,0.847,0.0262,0.233,174.022,0.776
773,Waiting For The End, Linkin Park,spotify:track:01pOtDU5YHWbxuNBzlRUem,2010,0.487,0.961,0.0415,0.323,170.005,1.15e-06
774,Fancy, Drake Featuring T.I. & Swizz Beatz,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
775,Maybe, Sick Puppies,spotify:track:0nbaoA1FPNt1tRnbXB6FFa,2010,0.437,0.913,0.0171,0.537,167.861,0
776,Hello World, Lady Antebellum,spotify:track:2zdltIgwTAWGXHHJGTPKqv,2010,0.427,0.531,0.0555,0.145,111.079,0.00106
777,Someone Else Calling You Baby, Luke Bryan,spotify:track:7DkzLcSXS4KhSvbvIJja3M,2010,0.498,0.916,0.052,0.352,115.045,1.31e-06
778,All I Want Is You, Miguel Featuring J. Cole,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
779,Make A Movie, Twista Featuring Chris Brown,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
780,Little Lion Man, Mumford & Sons,spotify:track:2BBkIgdXLv5vyp1DR0wpQl,2010,0.519,0.512,0.0276,0.441,138.596,8.78e-05
781,Fire Flame, Birdman Featuring Lil Wayne,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
782,Angel, Akon,spotify:track:6LBcHFbzmKSgGjZapRE2B5,2010,0.567,0.851,0.0897,0.361,125.887,0
783,Bullets In The Gun, Toby Keith,spotify:track:17wRLOv7UR7OQkCfzZpqRp,2010,0.611,0.787,0.308,0.428,120.099,1.24e-05
784,Marry Me, Train,spotify:track:0VZ9xPNa6ROafP6GYYuv2S,2010,0.366,0.269,0.829,0.492,86.577,1.67e-05
785,Letting Go (Dutty Love), Sean Kingston Featuring Nicki Minaj,spotify:track:0wDbYIl4fN2mccHczCJqEf,2010,0.792,0.808,0.335,0.709,92.064,0
786,Smoke A Little Smoke, Eric Church,spotify:track:2uZhNjlUQ9mnt0rS7hcAgF,2010,0.77,0.641,0.0206,0.639,96.98,0.00023
787,Shake, Jesse McCartney,spotify:track:1RxXS23GYj6WbaoLV9siTl,2010,0.787,0.807,0.0965,0.961,149.982,0
788,No BS, Chris Brown,spotify:track:78Vlnc4bXOViRHPx7lwLbd,2010,0.404,0.619,0.12,0.123,171.989,0
789,Loca, Shakira Featuring Dizzee Rascal,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
790,Strip Me, Natasha Bedingfield,spotify:track:0eRUvq2nZmHoS9c21BKXtN,2010,0.701,0.693,0.00263,0.478,108.026,1.56e-05
791,Forget You, Glee Cast Featuring Gwyneth Paltrow,spotify:track:0so0moYLqkFWE6dquoCOsh,2010,0.674,0.736,0.0704,0.85,127.427,1.89e-06
792,Monster," Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",spotify:track:3Qw2mXaItLuLG3HL8ofWXO,2010,0.683,0.363,0.393,0.0888,187.436,0.944
793,Bass Down Low, Dev Featuring The Cataracs,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
794,Fall For Your Type, Jamie Foxx Featuring Drake,spotify:track:7eck9XwORW9cWwnrMKt0dw,2010,0.596,0.395,0.404,0.172,136.852,5.73e-06
795,September, Daughtry,spotify:track:21RRhjnMsrvQpeQ10ptSBZ,2010,0.43,0.703,0.0465,0.328,149.873,0
796,One In A Million, Ne-Yo,spotify:track:03ZtlmARAMWhAgZSIs6Fes,2010,0.762,0.803,0.123,0.655,100.012,2.42e-06
797,Marry You, Bruno Mars,spotify:track:22PMfvdz35fFKYnJyMn077,2010,0.62,0.832,0.332,0.481,144.926,0
798,Porn Star Dancing, My Darkest Days Featuring Zakk Wylde,N/A,2010,N/A,N/A,N/A,N/A,N/A,N/A
799,"Bon, Bon", Pitbull,spotify:track:2NqWJfkEmOENiQWHxsVwJn,2010,0.798,0.895,0.177,0.784,127.967,0
800,Empire State Of Mind, Jay-Z + Alicia Keys,spotify:track:7MI84UJJRc6S0M93jat9Ju,2009,0.598,0.488,0.00225,0.565,173.403,0
801,TiK ToK, Ke$ha,spotify:track:5OMwQFBcte0aWFJFqrr5oj,2009,0.755,0.832,0.0746,0.735,120.032,1.27e-06
802,Bad Romance, Lady Gaga,spotify:track:5P5cGNzqh6A353N3ShDK6Y,2009,0.697,0.921,0.00305,0.721,118.99,3.65e-05
803,Replay, Iyaz,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,2009,0.706,0.751,0.173,0.195,91.031,0
804,Fireflies, Owl City,spotify:track:3DamFFqW32WihKkTVlwTYQ,2009,0.591,0.649,0.0294,0.489,90.002,0
805,Sexy Chick, David Guetta Featuring Akon,spotify:track:6WfYolWkoRDK8KSyq3qDZs,2009,0.711,0.711,0.0898,0.69,120.04,0.892
806,Whatcha Say, Jason Derulo,spotify:track:67T6l4q3zVjC5nZZPXByU8,2009,0.615,0.711,0.0444,0.711,144.036,0
807,Meet Me Halfway, The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,2009,0.785,0.604,0.00489,0.436,130.03,2.74e-05
808,3, Britney Spears,spotify:track:6pymOcrCnMuCWdgGVTvUgP,2009,0.697,0.709,0.0452,0.787,134.91,0
809,Down, Jay Sean Featuring Lil Wayne,spotify:track:6Ph28ENj0Suh79QTKmTtyY,2009,0.804,0.569,0.011,0.899,132.0,0.0391
810,Paparazzi, Lady Gaga,spotify:track:16Me2jlMlTX4xsps2j71mC,2009,0.755,0.688,0.0947,0.429,114.928,0
811,Sweet Dreams, Beyonce,spotify:track:1FKxKGONukVFXWVJxAKmlz,2009,0.694,0.825,0.0895,0.788,121.949,1.86e-05
812,How Low, Ludacris,spotify:track:1WtTLtofvcjQM3sXSMkDdX,2009,0.56,0.494,0.00293,0.372,144.004,0
813,Forever," Drake Featuring Kanye West, Lil Wayne & Eminem",N/A,2009,N/A,N/A,N/A,N/A,N/A,N/A
814,Already Gone, Kelly Clarkson,spotify:track:7ceIquYtiTYlgSSm7PqUf9,2009,0.209,0.872,0.217,0.294,78.139,0
815,Do You Remember, Jay Sean Featuring Sean Paul & Lil Jon,spotify:track:2WtKLh2PPKXNlMkY2DytA0,2009,0.933,0.526,0.0269,0.876,126.014,0.00874
816,Party In The U.S.A., Miley Cyrus,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,2009,0.454,0.708,0.00124,0.483,192.18,0.000181
817,I Gotta Feeling, The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,2009,0.741,0.748,0.0823,0.6,127.965,0
818,Need You Now, Lady Antebellum,spotify:track:11EX5yhxr9Ihl3IN1asrfK,2009,0.587,0.622,0.0927,0.231,107.943,0.000636
819,BedRock, Young Money Featuring Lloyd,spotify:track:5jmSPhkQl5kLp6T0P3JL0g,2009,0.935,0.913,0.0202,0.969,148.021,0.705
820,Hard, Rihanna Featuring Jeezy,spotify:track:1Y8ddVupH6D6Q4mzVCJzHO,2009,0.716,0.614,0.0469,0.313,91.017,1.79e-05
821,You Belong With Me, Taylor Swift,spotify:track:3GCL1PydwsLodcpv0Ll1ch,2009,0.691,0.768,0.263,0.454,129.996,1.59e-05
822,Use Somebody, Kings Of Leon,spotify:track:5VGlqQANWDKJFl0MBG3sg2,2009,0.276,0.715,0.00552,0.173,137.028,0.000417
823,I Can Transform Ya, Chris Brown Featuring Lil Wayne & Swizz Beatz,spotify:track:5tVc9MN7RKpvj9Xm5kbN8x,2009,0.575,0.786,0.164,0.933,167.341,0
824,Evacuate The Dancefloor, Cascada,spotify:track:5uXR7Nanrm9FfWDrpQBGfN,2009,0.748,0.696,0.0174,0.891,127.002,0
825,Money To Blow, Birdman Featuring Lil Wayne & Drake,N/A,2009,N/A,N/A,N/A,N/A,N/A,N/A
826,Fifteen, Taylor Swift,spotify:track:4t0OI7XrODjSkAu3bTPmWj,2009,0.549,0.649,0.0853,0.215,95.452,0
827,Two Is Better Than One, Boys Like Girls Featuring Taylor Swift,spotify:track:7pLoJ5SKhzxzxR6Ca87rMy,2009,0.596,0.527,0.468,0.187,128.005,0.962
828,Baby By Me, 50 Cent Featuring Ne-Yo,spotify:track:7lNrIF07Ow9ovdJk9ywl31,2009,0.642,0.832,0.00725,0.358,190.097,0.00526
829,Cowboy Casanova, Carrie Underwood,spotify:track:41NSrKm33WLGX1xIJgU6Np,2009,0.597,0.82,0.0328,0.576,119.969,0
830,Carry Out, Timbaland Featuring Justin Timberlake,spotify:track:2DHc2e5bBn4UzY0ENVFrUl,2009,0.478,0.569,0.117,0.259,95.988,0.0669
831,Run This Town," Jay-Z, Rihanna & Kanye West",spotify:track:13l8u5UsUufzxaMiob8a4B,2009,0.455,0.519,0.81,0.493,84.781,0
832,Tie Me Down, New Boyz Featuring Ray J,spotify:track:7ElAzOTRJi8GWmfxM5dxF8,2009,0.363,0.476,0.0132,0.32,100.434,0.564
833,Give It Up To Me, Shakira Featuring Lil Wayne,N/A,2009,N/A,N/A,N/A,N/A,N/A,N/A
834,Gangsta Luv, Snoop Dogg Featuring The-Dream,spotify:track:2Rn2sYHPYpPa0dDgaFMhQE,2009,0.597,0.7,0.0209,0.376,102.013,0
835,Live Like Were Dying, Kris Allen,spotify:track:1HfxPaJggVwFsvOtHbVzMz,2009,0.589,0.893,0.0273,0.94,92.011,0
836,Do I, Luke Bryan,spotify:track:7A5CReD6yWe0rrkJym34QI,2009,0.581,0.691,0.257,0.299,137.985,0
837,Say Aah, Trey Songz Featuring Fabolous,N/A,2009,N/A,N/A,N/A,N/A,N/A,N/A
838,Fallin For You, Colbie Caillat,spotify:track:1le5KVGTF1xWf2aUj7ruLy,2009,0.648,0.825,0.137,0.669,117.038,0
